student_id,last_name,first_name,sex,age,college,course,year_level,scholarship_type,gpa,monthly_income,scholarship_status
CSU-2021-1000,Harris,Sarah,Female,20.0,College Of Computing And Information Sciences,BS Computer Science,2,CHED UniFAST,2.87,45409,Warning
CSU-2021-1001,Lucas,Andre,Male,26.0,College Of Computing And Information Sciences,BS Information Systems,4,CHED UniFAST,4.48,113251,Revoked
CSU-2021-1002,Davis,Robert,Male,25.0,College Of Computing And Information Sciences,BS Computer Science,1,LGU Sponsored,3.19,67376,Revoked
CSU-2021-1003,White,Richard,Male,24.0,College Of Arts And Sciences,BS Mathematics,3,None,4.88,48852,Revoked
CSU-2021-1004,Harrison,Cindy,Female,22.0,College Of Computing And Information Sciences,BS Computer Science,3,CHED UniFAST,3.16,95459,Revoked
CSU-2021-1005,Johnson,Cody,Male,23.0,"College Of Management, Economics, And Business",BS Business Administration,1,DOST SEI,3.39,74309,Revoked
CSU-2021-1006,Franklin,Kristen,Female,17.0,"College Of Management, Economics, And Business",BS Economics,4,LGU Sponsored,4.0,18768,Revoked
CSU-2021-1007,Burton,Alyssa,Female,26.0,College Of Education,Bachelor of Secondary Education,3,LGU Sponsored,2.74,126638,Warning
CSU-2021-1008,Small,Zachary,Male,21.0,College Of Computing And Information Sciences,BS Computer Science,1,None,3.56,129841,Revoked
CSU-2021-1009,Doyle,Natalie,Female,24.0,College Of Computing And Information Sciences,BS Information Technology,3,CHED UniFAST,2.24,129850,Active
CSU-2021-1010,Wilson,Courtney,Female,18.0,"College Of Management, Economics, And Business",BS Business Administration,2,LGU Sponsored,2.39,104562,Active
CSU-2021-1011,Brown,Ashley,Female,23.0,College Of Engineering And Geosciences,BS Civil Engineering,3,None,3.16,129410,Revoked
CSU-2021-1012,Johnson,Jennifer,Female,17.0,College Of Arts And Sciences,BS Biology,2,None,1.36,43050,Active
CSU-2021-1013,Brown,Sandra,Female,18.0,"College Of Management, Economics, And Business",BS Accountancy,2,None,2.23,8109,Active
CSU-2021-1014,Phillips,Rhonda,Female,20.0,College Of Arts And Sciences,BA Communication,4,DOST SEI,2.65,122655,Warning
CSU-2021-1015,Chaney,Brooke,Female,19.0,College Of Education,Bachelor of Secondary Education,2,None,1.62,87755,Active
CSU-2021-1016,Porter,Monica,Female,26.0,College Of Arts And Sciences,BS Mathematics,4,DOST SEI,1.04,30523,Active
CSU-2021-1017,White,Lisa,Female,18.0,College Of Engineering And Geosciences,BS Mechanical Engineering,1,None,3.09,118190,Revoked
CSU-2021-1018,Ewing,Zachary,Male,23.0,College Of Engineering And Geosciences,BS Mechanical Engineering,1,DOST SEI,4.39,92809,Revoked
CSU-2021-1019,Gould,Heather,Female,25.0,College Of Arts And Sciences,BS Mathematics,1,None,2.15,75015,Active
CSU-2021-1020,Campos,Ashley,Female,22.0,College Of Computing And Information Sciences,BS Information Systems,1,CHED UniFAST,3.14,71936,Revoked
CSU-2021-1021,Day,Jason,Male,21.0,College Of Engineering And Geosciences,BS Electrical Engineering,2,LGU Sponsored,4.69,125876,Revoked
